error,model
0.2593,error_HSGS
0.3333,error_HSGS
0.2593,error_HSGS
0.1852,error_HSGS
0.3333,error_HSGS
0.2963,error_HSGS
0.2593,error_HSGS
0.3333,error_HSGS
0.3333,error_HSGS
0.2222,error_HSGS
0.2593,error_HSGS
0.2963,error_HSGS
0.2593,error_HSGS
0.2593,error_HSGS
0.2593,error_HSGS
0.3333,error_HSGS
0.2963,error_HSGS
0.2593,error_HSGS
0.2963,error_HSGS
0.1852,error_HSGS
0.1852,error_HSGS
0.3704,error_HSGS
0.2222,error_HSGS
0.3333,error_HSGS
0.3333,error_HSGS
0.3333,error_HSGS
0.2963,error_HSGS
0.3704,error_HSGS
0.3333,error_HSGS
0.2222,error_HSGS
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1111,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1481,error_encoding
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.1111,error_classic
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
