error,model
0.3333,error_HSGS
0.2963,error_HSGS
0.2963,error_HSGS
0.3333,error_HSGS
0.2963,error_HSGS
0.3333,error_HSGS
0.3333,error_HSGS
0.3333,error_HSGS
0.2963,error_HSGS
0.2963,error_HSGS
0.3333,error_HSGS
0.3333,error_HSGS
0.3333,error_HSGS
0.2963,error_HSGS
0.3333,error_HSGS
0.2963,error_HSGS
0.2963,error_HSGS
0.2963,error_HSGS
0.3333,error_HSGS
0.2963,error_HSGS
0.3333,error_HSGS
0.3333,error_HSGS
0.3333,error_HSGS
0.2963,error_HSGS
0.2963,error_HSGS
0.3333,error_HSGS
0.2963,error_HSGS
0.2963,error_HSGS
0.3333,error_HSGS
0.2963,error_HSGS
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_encoding
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.037,error_classic
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
0.3333,error_classic_bin
