"model","bias","avg_error.1 noise","std_error.1 noise","avg_error.2 noises","std_error.2 noises","avg_error.3 noises","std_error.3 noises"
"BWCN","biased",0.0741,0,0.0741,0,0.1111,0
"BWQN","biased",0.145663333333333,0.0363071046845478,0.159236666666667,0.033909590580444,0.1037,0.022579514670573
"RWCN","biased",0,0,0,0,0,0
"RWQN","biased",0,0,0,0,0,0
"BWCN","unbiased",0.1111,0,0.1111,0,0.1852,0
"BWQN","unbiased",0.185173333333333,0.0389192349690319,0.192576666666667,0.0356133613373847,0.21605,0.0258892701779101
"RWCN","unbiased",0.3333,0,0.2222,0,0.2593,0
"RWQN","unbiased",0.3333,0,0.219733333333333,0.00938720087299111,0.216036666666667,0.0170706540555732
