"model","bias","avg_error.1 noise","std_error.1 noise","avg_error.2 noises","std_error.2 noises","avg_error.3 noises","std_error.3 noises"
"BWCN","biased",0.1111,0,0.1111,0,0.1852,0
"BWQN","biased",0.179,0.0351872331863468,0.190123333333333,0.037345781124728,0.21976,0.0290793634612304
"RWCN","biased",0,0,0,0,0.037,0
"RWQN","biased",0,0,0.00123333333333333,0.00675524487589705,0.0493666666666667,0.0177880884851078
"BWCN","unbiased",0.0741,0,0.0741,0,0.0741,0
"BWQN","unbiased",0.146893333333333,0.0357160249297372,0.143193333333333,0.0442814737733539,0.112333333333333,0.02275307229476
"RWCN","unbiased",0.3333,0,0.2963,0,0.2593,0
"RWQN","unbiased",0.3333,0,0.193823333333333,0.0332535783227064,0.2593,0
